,rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrez,symbol
1,AT1G01010,321.014213695856,1.28129633353652,0.239500385738171,5.3498716905503,8.80166126699078e-08,1.79529440787537e-06,839580,ANAC001
2,AT1G01020,131.020297206834,0.878310667300481,0.150739391933873,5.82668309877343,5.6539829213718e-09,1.62599986651305e-07,839569,ARV1
3,AT1G01030,26.0643910683869,0.559895522751097,0.324909149091876,1.72323717050139,0.0848456444536981,0.185754790466161,839321,NGA3
4,AT1G01040,719.480874224127,1.39194931866907,0.233139857276351,5.97044767432935,2.36603459176397e-09,7.48344199866833e-08,839574,ASU1
5,AT1G01050,882.961687001707,-0.379649824284536,0.156173178908998,-2.43095406609964,0.015059123575098,0.0486418523806209,839579,AtPPa1
6,AT1G01060,2313.29525159976,-0.829961380109719,1.07147307850247,-0.7745984446662,0.438576976650505,0.600199553869291,839341,LHY
7,AT1G01070,81.7045413592447,-2.09026848047352,0.360350864919175,-5.80064787951142,6.60591873913575e-09,1.87770043747641e-07,839550,UMAMIT28
8,AT1G01080,657.035747810311,-0.657065824828147,0.204060529432684,-3.21995550366785,0.00128210495488368,0.0065095290515657,839463,CP28B
9,AT1G01090,2293.99356278783,0.631226364632823,0.159852911384295,3.9487949213219,7.85456047014107e-05,0.000626686391150806,839429,PDH-E1
10,AT1G01100,1854.74186231319,-0.866979401795522,0.167325787226523,-5.18138546464341,2.20243812840883e-07,3.95706307658239e-06,839410,P1w
11,AT1G01110,25.3059895442215,-0.247997888680804,0.392339186575341,-0.632100736216368,0.527321054166324,0.678164254041758,839394,IQD18
12,AT1G01120,648.18499596684,-1.66833124828511,0.491477772739418,-3.39452024246406,0.000687489574886554,0.00387927967345694,839395,KCS1
13,AT1G01140,2144.70845885723,-0.788846884721741,0.308869694066871,-2.55397955796516,0.0106499508874179,0.0369286586020667,839349,CIPK9
14,AT1G01160,233.775261286341,-0.0896174291126129,0.130540015741074,-0.68651308645748,0.492389614916348,0.648541155575022,839278,GIF2
15,AT1G01190,13.9333836456236,-0.0541410992534763,0.513003731474104,-0.10553743751123,0.915949365009752,0.951228010644909,839233,CYP78A8
16,AT1G01200,10.5868995715442,-0.247349500427995,0.64872488629083,-0.381285666166205,0.702991288534019,0.812207979239956,839493,ATRAB-A3
17,AT1G01220,304.127210804654,0.741141527946392,0.183397113398064,4.04118425974209,5.3181950013549e-05,0.000448009627857924,839420,AtFKGP
18,AT1G01230,508.614600930487,-0.24221254212011,0.147726434873463,-1.63960189202142,0.101087969456861,0.211254858541706,839331,AtORM1
19,AT1G01260,218.506336130078,0.0986393079255149,0.24008914811901,0.410844507960102,0.681186554789201,0.797547627714659,839545,bHLH013
20,AT1G01290,156.932436686986,-0.306373636380521,0.12630889015337,-2.42559043950516,0.0152835071731625,0.0492294749989174,839445,CNX3
21,AT1G01320,5134.67977696189,0.662244531415991,0.263203856317442,2.51608977422154,0.0118664952336297,0.04016085781251,839293,FLL2
22,AT1G01340,950.011018823237,1.1368935065014,0.246020603439848,4.62113128171142,3.81653157948613e-06,4.71533225824453e-05,838832,ACBK1
23,AT1G01360,210.13924205282,-0.64550073853041,0.173642827677707,-3.71740513076936,0.000201279532468627,0.00138344703631833,838452,PYL9
24,AT1G01370,36.5354908302357,-0.251870019434467,0.232804703649512,-1.08189403171878,0.279299617151676,0.440893364326481,839104,CENH3
25,AT1G01380,5.08741814637833,0.580346570046088,0.571974164361346,1.01463773402089,0.310278545239837,0.475098865439505,838096,ETC1
26,AT1G01420,167.429167606004,0.172305761205353,0.286771616480032,0.600846636498806,0.547942138632958,0.696314818110495,837503,UGT72B3
27,AT1G01430,699.341327794432,-0.234422393865108,0.203799582641903,-1.1502594403101,0.250037030875713,0.407341055551033,837247,MOAT3
28,AT1G01470,4805.09390601476,0.694230936046889,0.380127473424051,1.82631086828191,0.0678034490681837,0.157027142506625,837071,AtLEA14
29,AT1G01480,122.995188812568,-0.262506280039552,0.427177035316955,-0.614514026590355,0.538875707051568,0.688806600362017,837082,ACS2
30,AT1G01490,1013.00411969308,-0.728960032695144,0.225014665313383,-3.23961121236212,0.00119692779767706,0.0061822092508858,839440,AtHMP01
31,AT1G01510,409.635043469109,0.00523731090825024,0.100884213195751,0.0519140779547736,0.958597156816707,0.977319237632028,839401,AN
32,AT1G01520,77.8717438610711,0.592235534627197,0.950626072958424,0.622995256993228,0.533287638671419,0.683806367420995,839337,ASG4
33,AT1G01530,1.73864550444512,-0.690551344724252,0.918987881660466,-0.751425952947861,0.452396348499192,0.613244671779503,837142,AGL28
34,AT1G01550,2905.48379524088,0.0181991015670426,0.135647760264943,0.134164408844618,0.893272569045496,0.937668036953361,839536,BPS1
35,AT1G01560,621.408375624966,-0.222879411388736,0.278890630675277,-0.799164213043222,0.424195199877921,0.587082745373546,839523,ATMPK11
36,AT1G01580,17.768399201139,-1.3024852307339,0.384866008163572,-3.38425634664085,0.000713713336570363,0.00400389044500457,839411,ATFRO2
37,AT1G01590,2.38872170069299,0.666758116180012,1.19549004228645,0.557727871078535,0.5770302227581,0.718970519068902,837194,ATFRO1
38,AT1G01600,19.3499683814228,1.49079455788024,0.316478473529417,4.71057175312642,2.47022810054199e-06,3.26630379548237e-05,839347,CYP86A4
39,AT1G01610,438.083036345526,-0.959761527218201,0.200505611964296,-4.78670655557066,1.69540440452576e-06,2.34451121326416e-05,839297,ATGPAT4
40,AT1G01620,3467.6736255364,-2.17970470478472,0.407889399201272,-5.34386210833872,9.09867943748649e-08,1.84562439528904e-06,839235,PIP1;3
41,AT1G01650,855.225426140829,0.392821705055137,0.200972523913381,1.9546040294764,0.0506298253536197,0.125571315324802,839499,ATSPPL4
42,AT1G01660,23.7126425760299,1.56598381631298,0.295007880584483,5.3082779117981,1.10665818826098e-07,2.19118672620746e-06,839461,PUB55
43,AT1G01670,36.3093983786093,0.437829733681506,0.235413285898786,1.85983442697345,0.0629089549709681,0.148445856526586,839365,PUB56
44,AT1G01680,600.299133479065,1.02639454117211,0.287535010151369,3.56963327920236,0.000357481308447541,0.00225416987879602,839251,ATPUB54
45,AT1G01690,32.8284897531078,0.234660828044303,0.292632838323945,0.801895062045408,0.422613662755948,0.585666606495394,839243,ATPRD3
46,AT1G01695,2.97592937839708,1.43172129173233,0.684200215828152,2.0925472670297,0.0363895881270786,0.0970726854990813,6241450,TRM33
47,AT1G01700,17.7741487270495,0.851608542536065,0.351275201649444,2.42433436387556,0.0153364776757277,0.0493279700275378,839250,ATROPGEF2
48,AT1G01720,783.981218412955,0.844391154036766,0.254238759665435,3.32125264907657,0.000896143759014415,0.00485398349331904,839265,ANAC002
49,AT1G01740,66.8247604988266,0.549911755662687,0.20890995722809,2.63229078670619,0.00848112393387159,0.0307641493725107,839253,BSK4
50,AT1G01750,1.68856187163495,0.903540297525525,0.995872574153027,0.907285049288531,0.364256078260273,0.529396137443184,839281,ADF11
51,AT1G01760,29.0479670341316,0.60599379196004,0.28550603225744,2.12252535320731,0.0337936459680641,0.091409654596081,839252,AtTAD1
52,AT1G01780,95.4294962664945,0.744193641615976,0.248742687218633,2.99182118653348,0.00277318646063884,0.0123415201093764,839267,PLIM2b
53,AT1G01790,1579.44044283546,0.00635487683965516,0.21191943706084,0.0299872297123492,0.976077237804963,0.986528794897257,837332,ATKEA1
54,AT1G01820,1007.43115709608,-0.784748429133408,0.184349791640048,-4.25684467637299,2.07332291227731e-05,0.000199359364620502,839257,PEX11C
55,AT1G01860,101.355259947647,-0.282963099552902,0.208808523402429,-1.35513194069936,0.175375523847966,0.316490538821254,839283,PFC1
56,AT1G01880,13.9838915335085,0.0152916834078082,0.369812786319477,0.0413497963658778,0.967017035231685,0.981949768098036,837373,AtGEN1
57,AT1G01900,6.90123625987442,0.092001575821643,0.468388677760105,0.196421434142273,0.844280321000211,0.909069416457972,839318,ATSBT1.1
58,AT1G01910,673.147056226677,-0.00355037876516454,0.122272581830144,-0.0290365894955631,0.976835408690848,0.986881490127444,839305,AtGET3a
59,AT1G01940,137.189859432373,-0.503574546350168,0.21055457549381,-2.39165805430323,0.0167724605875213,0.0529949131214152,839309,CYP18-1
60,AT1G01950,291.770328593389,0.637170034686959,0.187109557285947,3.40533131460097,0.000660838259506613,0.0037500273103223,839306,ARK2
61,AT1G01960,975.33131132941,0.661957159853311,0.141654105920973,4.67305310742359,2.96754993058189e-06,3.81401151813235e-05,839301,BIG3
62,AT1G02000,145.309091762384,0.208335863789314,0.175015923808874,1.19038233353456,0.233896153476124,0.388750442502304,839289,GAE2
63,AT1G02010,118.337764868682,1.17387496727062,0.243460815384522,4.8216176612101,1.4239868639795e-06,2.01083375811567e-05,839288,SEC1A
64,AT1G02050,45.7342049247222,0.705663677863001,0.31785495352769,2.22008079481299,0.0264132836311209,0.0753995367513233,839280,LAP6
65,AT1G02065,6.62325764196395,2.12103785725014,0.573256027123184,3.69998352724578,0.000215613461983253,0.00146416428915816,839275,SPL8
66,AT1G02080,1315.12473480919,0.9780734981811,0.208757845748219,4.68520593645494,2.7967858047178e-06,3.62840956961888e-05,839244,NOT1
67,AT1G02090,511.274588159125,0.0759579264963174,0.182088408264057,0.417148610504444,0.676569710955735,0.794041244680015,839241,ATCSN7
68,AT1G02100,565.353492100257,0.343909333767616,0.154903572944382,2.22015107353976,0.0264085142315816,0.0753956920694026,837541,LCMT1
69,AT1G02120,1827.35534618912,0.339494363132028,0.115937804663123,2.9282455719986,0.00340880693615392,0.0145895877203293,839232,VAD1
70,AT1G02130,801.526750245558,-0.181507977822486,0.126796126922786,-1.43149465387864,0.152288498080868,0.286315893507164,837023,ARA-5
71,AT1G02140,1319.75921243777,-0.465584783877745,0.139573575366117,-3.33576597616322,0.000850647386545517,0.0046417912504858,837560,HAP1
72,AT1G02145,219.894253187902,0.533128310478384,0.117685690166859,4.53010310533504,5.8954908301777e-06,6.8174156166921e-05,5007658,ALG12
73,AT1G02150,942.496983360171,-0.0175409508713516,0.187296936299163,-0.09365316495799,0.92538467563284,0.956916414356972,839577,CCR16
74,AT1G02170,892.118390247527,0.141296126182485,0.193649671424926,0.729648158671226,0.465605276926889,0.625385662646324,839561,ATMC1
75,AT1G02205,91.7233323081955,1.07510612241637,0.370776083952893,2.89961022014828,0.00373626957868599,0.0157343304432945,837602,CER1
76,AT1G02220,561.211559201235,-0.508648676696597,0.405484975181412,-1.25442052808252,0.209689194990442,0.359586118359369,839476,ANAC003
77,AT1G02230,139.223476355275,-0.706717281545637,0.376981661581687,-1.87467283840941,0.0608377457920856,0.144760715279094,837630,ANAC004
78,AT1G02250,4.73690744809092,1.80279056704533,0.517502469251167,3.48363664748112,0.000494650537107706,0.00293157295720894,839390,anac005
79,AT1G02280,652.34042202272,-0.632567892528731,0.193549693328859,-3.26824538778234,0.00108216496123643,0.00568678719729896,839248,ATTOC33
80,AT1G02290,93.6081349206736,-0.623656324692546,0.206477914939036,-3.02045051586598,0.00252398947609327,0.0114100070118733,839255,NFRKB3
81,AT1G02300,298.698191757722,0.948049239639143,0.271184512556582,3.49595642723637,0.000472365827754356,0.0028268804182561,839576,AtcathB1
82,AT1G02305,1758.92501446029,0.425462034902799,0.302373485638026,1.40707454559069,0.15940528512872,0.295858035731786,839538,AtcathB2
83,AT1G02310,51.3610975318255,0.615546089736355,0.500848817611846,1.22900577597729,0.219069640430947,0.371022150307784,839444,MAN1
