,rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrez,symbol,diffexpressed
839550,AT1G01070,81.7045413592447,-2.09026848047352,0.360350864919175,-5.80064787951142,6.60591873913575e-09,1.87770043747641e-07,839550,UMAMIT28,DOWN
839395,AT1G01120,648.18499596684,-1.66833124828511,0.491477772739418,-3.39452024246406,0.000687489574886554,0.00387927967345694,839395,KCS1,DOWN
839411,AT1G01580,17.768399201139,-1.3024852307339,0.384866008163572,-3.38425634664085,0.000713713336570363,0.00400389044500457,839411,ATFRO2,DOWN
839235,AT1G01620,3467.6736255364,-2.17970470478472,0.407889399201272,-5.34386210833872,9.09867943748649e-08,1.84562439528904e-06,839235,PIP1;3,DOWN
839389,AT1G02900,17.2156513717089,-2.0892328148744,0.382312509248469,-5.46472522958066,4.63624379560161e-08,1.03372281956789e-06,839389,ATRALF1,DOWN
839505,AT1G03020,16.9432140488528,-3.16077050019659,0.675320405502856,-4.68040129461662,2.86313933624087e-06,3.69707482051876e-05,839505,GRXS1,DOWN
838400,AT1G03130,12757.5580940629,-1.44537814009859,0.223317636465721,-6.47229732041542,9.65239496082765e-11,4.14146961277994e-09,838400,PSAD-2,DOWN
839449,AT1G03600,3898.80068992802,-1.74562042552653,0.190763365440377,-9.15071099472781,5.65600533198344e-20,1.1536679764654e-17,839449,PSB27,DOWN
839436,AT1G03680,3435.5587645414,-1.20437844620549,0.126520157941457,-9.51926132405535,1.74414384687882e-21,4.57401723843971e-19,839436,ATHM1,DOWN
839384,AT1G03870,817.578054406166,-2.37378016685959,0.62135263338033,-3.8203429732736,0.000133266228487867,0.000971771515180144,839384,FLA9,DOWN
839570,AT1G04240,345.382507183691,-1.07984940971538,0.384904524434236,-2.80549939313557,0.00502386759801198,0.020076593405226,839570,IAA3,DOWN
839568,AT1G04250,376.875947788059,-1.75139520413502,0.498072557213958,-3.51634551787336,0.0004375311913333,0.00265886196245,839568,AtIAA17,DOWN
839502,AT1G04520,105.677091961495,-1.09759377109463,0.426615221904834,-2.57279561238786,0.0100880763323539,0.0353588279276728,839502,PDLP2,DOWN
839460,AT1G04635,15.8994404938003,-1.07712799304873,0.37915903010075,-2.84083434004595,0.00449956794097026,0.0183393609208489,839460,AtPOP5,DOWN
839273,AT1G05190,3261.47750966084,-1.27245507508142,0.131872068578378,-9.64916292584839,4.95585999599956e-22,1.38193215002372e-19,839273,EMB2394,DOWN
