gene_id,haust_IM-206,haust_IM-207,haust_IM-208,haust_IM-209,haust_IM-210,haust_mean,lfc_IM_vs_UM,p_IM_vs_UM,lfc_H_vs_UM,p_H_vs_UM,haustoria_index_LFC,lfc_IT_vs_UT,p_IT_vs_UT,lfc_H_vs_IM,p_H_vs_IM
AT4G39675,0,0,0,NA,NA,0,2.49704004201489,0.0497050419065634,-1.99363363060738,0.138936975396622,4.49067367262227,2.03772806778456,0.0528972756279438,4.49067367262227,8.60810478278088e-4
AT1G48325,0,0,0,NA,NA,0,4.9130450992994,7.56344545012269e-6,0.981267652935474,0.54660952713408,3.931777446363926,4.68808713326938,3.53526086923562e-7,3.93177744636392,7.83364217481313e-4
AT4G10265,0,0,0,NA,NA,0,2.62785438536419,0.0123024066202055,-1.2971250387804,0.390298185892831,3.92497942414459,0.329723729417773,0.640191370889907,3.92497942414459,7.1805900796489e-4
AT1G64360,0,0,0,NA,NA,0,1.07089254925387,4.18184992136682e-5,-2.73142874608356,2.30770541540419e-23,3.80232129533743,1.34309206380396,2.79117631193402e-10,3.80232129533743,1.08169330767421e-43
AT3G19550,0,3.7106281159693966,0,NA,NA,1.2368760386564654,1.88266902519431,0.00450351947636092,-1.62928950925296,0.113358257163875,3.51195853444727,1.11854802123722,0.0293206492275151,3.51195853444727,1.90009915997815e-4
AT1G68735,0,0,0,NA,NA,0,3.32898895556825,0.00803354220725403,-0.172886014537327,0.924080921963154,3.501874970105577,1.37760084441779,0.168319767644149,3.50187497010558,0.00857210320036452
AT1G16950,0,0,0,NA,NA,0,5.87177998751868,1.67409520888933e-7,2.37942747993046,0.0647247936788655,3.4923525075882202,5.33066769778682,1.45240303529227e-8,3.49235250758822,2.21122175281002e-5
AT1G64160,0,0,0,NA,NA,0,3.72568313696049,0.00288517084253244,0.254863088733163,0.88233712918624,3.4708200482273273,4.62306935797097,1.67958343820968e-5,3.47082004822733,0.0049256576271726
AT1G54575,0,0,0,NA,NA,0,3.98911733394907,1.69987046822201e-23,0.540847348435925,0.224283355726733,3.448269985513145,3.88914476302267,6.64827610952116e-33,3.44826998551315,3.0174408406315e-17
AT4G09110,0,0,0,NA,NA,0,3.8366749804898,0.00196277693233119,0.404192009333673,0.82269896655145,3.432482971156127,2.5839494868465,0.0191520457369538,3.43248297115613,0.0099258304949715
AT5G13900,1.9332144719253863,0,0,NA,NA,0.6444048239751288,2.4010693594249,0.00716667708715032,-0.974001893134486,0.438255354585899,3.375071252559386,1.01050798085193,0.173806496928242,3.37507125255938,0.00164365637922264
AT1G49800,0,0,0,NA,NA,0,5.32654007150878,4.05682503239826e-6,1.95776341716187,0.178306551042448,3.3687766543469095,4.68878850702341,1.54793070918143e-6,3.36877665434691,0.00148199006813144
AT1G67860,0,0,0,NA,NA,0,1.60828770076169,9.29127486895214e-10,-1.64830336244918,3.51011901209716e-10,3.25659106321087,1.33039520510168,5.53778812406061e-10,3.25659106321087,2.18822189806395e-35
AT1G24575,0,0,0,NA,NA,0,1.6535988649166,1.08225806868301e-8,-1.5256930804173,3.40174112748355e-7,3.1792919453339,1.80187815013284,1.34792015795693e-14,3.1792919453339,7.86015798018088e-27
AT1G10155,7.098395370992716,0,0,NA,NA,2.3661317903309054,2.14924216591317,0.00870480474499977,-0.983935905746971,0.27829787943417,3.133178071660141,1.19152348455107,0.0804038112638767,3.13317807166014,2.90033514867276e-4
AT3G03341,0,0,0,NA,NA,0,2.55348238018587,1.35385757126171e-6,-0.498936099441373,0.474581275949785,3.052418479627243,2.40022763345503,6.87543769762323e-8,3.05241847962724,7.63636395546195e-8
AT5G46871,0,0,0,NA,NA,0,2.71097309592299,2.09047430674781e-8,-0.321068889762513,0.584526910427564,3.032041985685503,2.01534990030835,2.49080822053024e-7,3.0320419856855,1.42352663005125e-9
AT5G24860,0,0,0,NA,NA,0,4.48599100972102,8.97688275024865e-4,1.55692242546345,0.364439634934804,2.92906858425757,3.5363765372233402,0.00177190720262155,2.92906858425757,0.0394481081580735
AT2G27505,1.9666072359626932,1.8553140579846983,0,NA,NA,1.2739737646491305,2.73429633513494,0.0281996237834273,-0.172884718389357,0.92294771614213,2.907181053524297,-0.5403912071557,0.523173239744262,2.90718105352429,0.0295704249505909
AT1G49470,0,0,0,NA,NA,0,1.17760545132176,2.8058771372927e-5,-1.72379962384038,2.35028115329657e-9,2.90140507516214,1.19783874436585,1.63635828714145e-7,2.90140507516214,9.29020065892737e-24
AT1G73000,0,0,0,NA,NA,0,4.24566006021414,1.47895712586306e-4,1.36342965606478,0.346304110018107,2.88223040414936,2.40914661602209,0.00433834640281221,2.88223040414936,0.00448294552691718
AT1G30972,0,0,0,NA,NA,0,3.84488103252428,0.0227994553476141,0.970380218802179,0.641703407581437,2.874500813722101,3.87420144688329,0.00534897935513436,2.87450081372211,0.116524117017026
AT2G04025,0,0,0,NA,NA,0,4.40086239509924,0.00250792619629185,1.54548236087843,0.395010636538043,2.8553800342208095,3.22320657831742,0.0107540933237208,2.85538003422082,0.0670675977341256
AT1G06135,0,0,0,NA,NA,0,3.83514743917586,0.00476387062961516,0.981267717838702,0.588805193498223,2.853879721337158,3.25626565932668,0.00500268872427506,2.85387972133716,0.0582301433983545
AT1G11925,5,0,0,NA,NA,1.6666666666666667,2.65219877300413,0.0334289699322467,-0.192715108789644,0.899048941391751,2.844913881793774,2.47526064025481,0.0171168178199737,2.84491388179377,0.0336817135837585
AT2G22320,0,0,0,NA,NA,0,3.78508658855497,0.0233379309118006,0.981265180699598,0.64055563350742,2.803821407855372,2.42900317556663,0.103654919537473,2.80382140785537,0.136598031065426
AT2G15340,0,0,0,NA,NA,0,4.97888090549582,9.89829683774904e-6,2.20822603570714,0.0891892590956741,2.7706548697886797,3.39715948323051,5.41429209594027e-4,2.77065486978868,0.00129480350888402
AT1G08687,0,0,0,NA,NA,0,2.34803884591629,0.0274698554596059,-0.418993614343284,0.764921754559565,2.7670324602595744,1.83131877586612,0.0306300708336562,2.76703246025957,0.0180913931154362
AT2G34140,0,0,0,NA,NA,0,2.32308950029465,4.64004584029084e-5,-0.399074984201165,0.574549385921359,2.7221644844958153,1.27824497418861,0.00647800441445349,2.72216448449581,5.77599165271807e-6
AT2G48090,0,0,0,NA,NA,0,1.2855006486873,1.29317715378685e-4,-1.42894417783846,0.00268449065314513,2.71444482652576,1.25943048383423,3.0020676172227e-6,2.71444482652576,7.00790447452236e-10
AT1G26790,9,1,0.008273955254165077,NA,NA,3.336091318418055,3.60480394860246,0.0472067189546923,0.932154215806142,0.672200593467877,2.672649732796318,-0.946340666019203,0.526539420244364,2.67264973279631,0.183715335802468
AT1G10480,0,0,0,NA,NA,0,1.46479448353279,0.00900974166921484,-1.18464839756445,0.101956413095367,2.64944288109724,0.594987927066974,0.2120327271947,2.64944288109724,7.1398110056856e-5
AT1G17180,141.89982170788807,0,0,NA,NA,47.29994056929602,3.39793845720685,0.0122345183610083,0.764797791235151,0.65552148131346,2.633140665971699,1.12976099585384,0.309777454243897,2.6331406659717,0.0469050251876055
AT1G15385,0,0,0,NA,NA,0,5.12976606388897,8.86555312602333e-6,2.5319956426167,0.0394477873385057,2.5977704212722696,4.69647053363324,1.31126301101387e-6,2.59777042127227,0.00324402454789625
AT4G30460,0,0,0,NA,NA,0,1.15639640752194,0.0490554969948024,-1.43513997558485,0.0125540470514386,2.59153638310679,0.875827844888617,0.0698579769545806,2.59153638310679,1.03210350742043e-5
AT3G49610,0,0,0,NA,NA,0,3.56229871333086,0.00364209434687027,0.981268963790192,0.558893725898568,2.5810297495406678,3.95011174584616,7.26828355130915e-5,2.58102974954067,0.0579629216021824
AT4G21490,0,0.8553140579846983,0,NA,NA,0.2851046859948994,2.94212541715358,0.0194751397620373,0.378265469097333,0.828525715490169,2.563859948056247,1.4509177266922,0.190549269535174,2.56385994805625,0.0477388938421912
AT2G47520,15.933214471925385,0,0,NA,NA,5.311071490641795,3.48003961958798,0.0312137306533672,0.942912616551054,0.637776941376401,2.537127003036926,-0.937334142803801,0.447066274054187,2.53712700303693,0.150535788341346
AT3G14560,0,0,0,NA,NA,0,1.26166892543437,1.09132950411959e-5,-1.27009841022771,2.01705557998344e-5,2.53176733566208,1.06986961815202,4.71020773409807e-6,2.53176733566208,1.03536989157538e-17
