"","."
"1","AT1G58360"
"2","AT5G04230"
"3","AT1G08090"
"4","AT5G09300"
"5","AT2G24762"
"6","AT3G45660"
"7","AT4G34710"
"8","AT4G08290"
"9","AT2G13810"
"10","AT1G44800"
"11","AT1G01070"
"12","AT1G21890"
"13","AT1G75500"
"14","AT3G54140"
"15","AT5G07440"
"16","AT4G08300"
"17","AT3G04520"
"18","AT5G10180"
"19","AT4G08870"
"20","AT3G19710"
"21","AT1G11120"
"22","AT2G17630"
"23","AT3G45650"
"24","AT1G12940"
"25","AT3G22740"
"26","AT5G28020"
"27","AT1G43650"
"28","AT1G33440"
"29","AT5G05730"
"30","AT3G22460"
"31","AT3G58990"
"32","AT5G23010"
"33","AT4G25760"
"34","AT5G49630"
"35","AT3G15990"
"36","AT2G41220"
