,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
ath00195,ath00195,Photosynthesis - Arabidopsis thaliana (thale cress),42,-0.785926912859032,-2.89210033819107,1e-10,9.9e-09,8.31578947368421e-09,2330,tags=88%, list=18%, signal=72%,844245/824246/817630/838400/843099/829359/842386/827996/828183/820859/836751/817606/836789/842016/840021/825797/816545/841033/840149/839449/826551/839918/838622/841653/828984/828996/826892/827877/837358/837178/836525/825866/824699/837974/834535/838591/821143
ath04626,ath04626,Plant-pathogen interaction - Arabidopsis thaliana (thale cress),159,0.54736636108937,1.82633459664538,6.25243434439882e-07,3.09495500047742e-05,2.59969638530267e-05,3061,tags=51%, list=24%, signal=39%,815949/816436/834473/829855/824241/823902/827114/834244/839523/837430/843936/838832/835341/829514/828455/826427/842710/838506/835008/838470/817575/819251/815862/825806/843997/823964/821865/832170/821036/843998/816235/828457/828520/818710/834842/824355/818429/821037/822147/818709/841591/824847/821005/820190/831091/819253/823956/819252/844385/831123/818708/821676/826725/828151/841241/825804/823706/821717/828283/818931/826409/821586/836753/826728/829685/826541/829480/827311/822098/828465/818982/815035/835244/835701/842958/842581/820235/825809/815945/835699/824198
ath00196,ath00196,Photosynthesis - antenna proteins - Arabidopsis thaliana (thale cress),20,-0.781051808837952,-2.26851153479269,1.8726652002497e-06,5.38807316911204e-05,4.52586688314568e-05,2063,tags=85%, list=16%, signal=71%,839870/815055/841099/839871/830325/823901/825320/842446/820043/824654/826626/838151/839869/835515/822391/818006/838498
ath04814,ath04814,Motor proteins - Arabidopsis thaliana (thale cress),65,-0.538554379168222,-2.1351347612125,2.66500937442654e-06,5.38807316911204e-05,4.52586688314568e-05,3456,tags=75%, list=27%, signal=55%,830060/843557/834459/836390/832758/835556/819717/835516/823602/825338/817748/827054/817411/818339/824985/832097/830445/827837/838418/816676/821947/821439/816792/828826/825867/843509/836391/832098/823523/837394/820385/842245/817504/832451/838777/824542/820999/827876/839405/827154/817886/841425/843911/839246/816548/828845/831100/830555/838590
ath00940,ath00940,Phenylpropanoid biosynthesis - Arabidopsis thaliana (thale cress),64,0.650663845894758,1.98788416725583,2.72124907530911e-06,5.38807316911204e-05,4.52586688314568e-05,2267,tags=52%, list=18%, signal=43%,836802/843126/826447/829955/830416/838016/824073/836533/836531/843600/828728/839958/844421/822042/833954/829572/830823/816415/829479/836771/821677/829779/821710/817599/831370/818527/841709/830561/835504/841062/844079/829551/841593
ath04016,ath04016,MAPK signaling pathway - plant - Arabidopsis thaliana (thale cress),128,0.554515292549825,1.82352225664083,5.55198455073507e-06,9.16077450871287e-05,7.69485578084335e-05,2212,tags=34%, list=17%, signal=29%,815949/816436/822298/817143/837082/836040/839324/834469/820429/843631/822119/839523/837430/834470/835250/821902/829514/828455/842710/844164/838506/843916/835008/842650/817575/818626/843609/818710/834842/818429/829103/841591/824847/828713/838652/837255/818708/821676/826725/828151/823706/826409/826407/817812
ath03030,ath03030,DNA replication - Arabidopsis thaliana (thale cress),39,-0.595323366822038,-2.14360094704666,2.82088616238422e-05,0.000398953900108625,0.000335112792223088,4057,tags=79%, list=32%, signal=54%,842620/832721/817292/824429/821389/832836/838771/818812/816985/821600/836517/816142/841506/837249/837333/828153/832272/815415/817506/834193/841056/843052/834670/843086/837406/837346/834492/830696/836845/836221/827651
ath04141,ath04141,Protein processing in endoplasmic reticulum - Arabidopsis thaliana (thale cress),151,0.515572469990964,1.71597239657141,5.67703546832682e-05,0.000702533139205444,0.000590112897365551,3666,tags=56%, list=29%, signal=40%,837429/831856/837365/835341/837252/843560/831076/824661/839355/844087/824489/831075/841687/834207/820438/820091/814694/825434/820102/820956/828520/832267/828623/840541/820016/836301/835019/832950/831917/838779/837441/827367/816258/835218/816225/833746/824384/842280/819360/828942/835411/842812/835714/828856/819925/818481/820142/835114/839805/819114/840113/842087/817854/823531/835701/831392/816666/814675/831870/838406/837438/835699/825736/843928/829054/825171/837054/835111/828626/835219/816224/827368/821641/825430/833459/827210/839879/842476/840312/843462/825823/838604/836801/833835
ath03440,ath03440,Homologous recombination - Arabidopsis thaliana (thale cress),51,-0.491310884022996,-1.89053283569987,0.000440893398858279,0.00484982738744107,0.0040737518724917,3889,tags=57%, list=31%, signal=40%,821455/816716/824429/829727/821389/818812/816136/844068/816985/835850/821600/836517/841506/823975/835514/839329/831710/842384/830696/836513/832208/827854/816748/836221/827651/828230/837636/817404/823287
ath00480,ath00480,Glutathione metabolism - Arabidopsis thaliana (thale cress),87,0.548223689921592,1.73386174448227,0.000501402619276216,0.00496388593083454,0.00416955862345485,1745,tags=32%, list=14%, signal=28%,817496/843329/831800/817495/836368/843328/843799/820083/839295/839515/827931/838288/838289/814822/835392/839479/819427/817498/817715/817491/842257/834076/825483/822003/837304/842652/842261/844174
