sample_id	GFP10_11_mapped_reads	total_reads	mapped_pct
DIC1_S21_L002	177	26830002	0
DIC2_S22_L002	157	28154984	0
DIC3_S23_L002	206	31132656	0
DIC4_S24_L002	240	29563942	0
DIT1_S5_L001	159	29811636	0
DIT2_S6_L001	142	25774140	0
DIT3_S7_L001	189	29917858	0
DIT4_S8_L001	155	28852984	0
DIT5_S9_L001	223	28619702	0
DMC1_S18_L002	208	23024624	0
DMC2_S19_L002	252	25530872	0
DMC3_S20_L002	296	25068422	0
PIC1_S14_L002	158	31778120	0
PIC2_S15_L002	191	34985118	0
PIC3_S16_L002	159	35920420	0
PIC4_S17_L002	96	28681204	0
PIT1_S3_L001	207	36493854	0
PIT2_S1_L001	285	34560300	0
PIT3_S2_L001	195	33309352	0
PIT4_S3_L001	187	30209450	0
PIT5_S4_L001	257	30737486	0
PMC1_S10_L001	153	26817372	0
PMC2_S11_L001	238	34180262	0
PMC3_S12_L001	241	32688858	0
PMC4_S13_L002	299	29592716	0
PMT1_S10_L002	197	25700862	0
PMT2_S11_L002	267	28184820	0
PMT3_S12_L002	265	29280496	0
PMT4_S13_L002	349	28410538	0
PMT5_S14_L002	267	29458706	0
