"","genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","AT1G01010",321.014213695856,2.9333774501542,0.264396850199969,11.0946005897409,1.33253906520251e-28,6.7172775897817e-27
"2","AT1G01020",131.020297206834,-0.11889195302702,0.157369574325226,-0.755495168216657,0.449951930363885,0.547502821143726
"3","AT1G01030",26.0643910683869,-0.522815144459949,0.328285375873414,-1.59256300427329,0.11125825850708,0.174665634025974
"4","AT1G01040",719.480874224127,0.222662055346907,0.234857664835948,0.948072337781438,0.343092629496827,0.440673286408116
"5","AT1G01046",6.87181989024908,-0.201258990580539,0.63552801442467,-0.316679966913393,0.751486451105977,0.814208884094706
"6","AT1G01050",882.961687001707,0.36355047978212,0.156364371811719,2.32502120252737,0.0200708264945739,0.040242125862289
"7","AT1G01060",2313.29525159976,2.42645728056012,1.07168182316915,2.26415828663087,0.0235643811276855,0.0461873611408295
"8","AT1G01070",81.7045413592447,0.996763038652725,0.35209038022686,2.83098628826635,0.00464047103477733,0.0111770103241975
"9","AT1G01080",657.035747810311,-1.81606842349779,0.200699469565525,-9.04869568130511,1.44686199170744e-19,3.79785309772937e-18
"10","AT1G01090",2293.99356278783,-0.861899971992527,0.159832326869032,-5.39252596065109,6.94740583227657e-08,4.69029736681644e-07
"11","AT1G01100",1854.74186231319,-0.211659948697482,0.166813387188396,-1.26884270060674,0.204497172084038,0.289218554432414
"12","AT1G01110",25.3059895442215,-1.23724448912917,0.371098773106184,-3.3340031786501,0.00085605679480446,0.00249115919851353
"13","AT1G01120",648.18499596684,-0.842501462683371,0.489757394869316,-1.72024245373197,0.0853883789967269,0.139551940123073
"14","AT1G01130",21.9223713403739,-0.308650639872971,0.40502085770481,-0.762061098833392,0.446023539041821,0.543558829888086
"15","AT1G01140",2144.70845885723,1.16152770702432,0.309037588902374,3.75853212921375,0.000170913094369583,0.000584180691368121
"16","AT1G01150",1.35147212858548,-0.216796863475111,1.13316512491524,-0.191319745647243,0.848275092029394,0.889730652202097
"17","AT1G01160",233.775261286341,0.1783711619023,0.131888506911962,1.35243901139442,0.176234916724524,0.255817012422545
"18","AT1G04007",4.71730446979563,-0.722638523664078,0.674863080246347,-1.07079279459219,0.284262607464506,0.379654479194592
"19","AT1G01170",188.377244482817,-0.75457298824269,0.213283464252339,-3.53788790372394,0.000403341252515117,0.00126913361686267
"20","AT1G04013",3.52736795348351,0.251818891752792,0.634530793071271,0.396858425946411,0.691471863268785,0.764526885964067
"21","AT1G01180",303.103406928337,0.683539499218735,0.275774008384266,2.47862190937982,0.0131891031081676,0.0279046054907629
"22","AT1G08765",1.98586214457289,-3.13488781550717,1.12214052124197,-2.79366777704232,0.00521139874744217,0.0123815684865621
"23","AT1G01190",13.9333836456236,-1.27056615472699,0.488383404263599,-2.60157520430653,0.00927967167009713,0.0204626513734304
"24","AT1G01200",10.5868995715442,-1.80268447989782,0.600990584759878,-2.99952199853192,0.00270403596248372,0.00693609783623125
"25","AT1G01210",69.9921143516377,-0.1603985715686,0.181919642133696,-0.881700126975406,0.377938992327071,0.476618351119697
"26","AT1G01220",304.127210804654,-0.658705834947516,0.18400682095804,-3.57979031167396,0.000343870031097423,0.00110007448664611
"27","AT1G01225",28.506105953529,-0.598327621148691,0.233801990636178,-2.55912115855231,0.0104937161526596,0.0228176955016225
"28","AT1G01230",508.614600930487,0.1235040974397,0.147843144032109,0.835372504070105,0.4035080061523,0.502707717878579
"29","AT1G01240",924.747473347741,0.299044204773379,0.300482081314872,0.995214767765182,0.319631820817392,0.41636623385881
"30","AT1G01250",34.6374981570969,-1.9037829738205,0.503986467690502,-3.77744859409522,0.000158443194783938,0.000546390910753814
"31","AT1G01260",218.506336130078,-0.0850450305448052,0.240621740297728,-0.353438681141515,0.723759591262227,0.791289892099638
"32","AT1G01290",156.932436686986,0.255357305740745,0.127317115500742,2.00567932077644,0.04489047290289,0.0806427682961741
"33","AT1G01300",436.483086268905,-0.937146940231897,0.251222706804407,-3.73034329640244,0.000191219045085133,0.000647458399044018
"34","AT1G01320",5134.67977696189,0.0641330260884204,0.263302791982502,0.243571386408551,0.807562791278775,0.858373979690235
