"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","AT1G01010",321.014213695856,-3.71501429565848,0.367377793528843,-10.1122451087039,4.87540067175951e-24,1.63388998463928e-22
"2","AT1G01040",719.480874224127,-1.08039404041226,0.359457266857042,-3.00562581432505,0.00265034925420407,0.00600425865614416
"3","AT1G01060",2313.29525159976,-2.07036052958614,0.917841276625039,-2.25568470531091,0.0240903841052234,0.0432573868234227
"4","AT1G01080",657.035747810311,2.10685791086585,0.227386877800236,9.26552108568363,1.94127088382864e-20,4.947095175942e-19
"5","AT1G01090",2293.99356278783,0.512146099510123,0.201634049244316,2.53997824985186,0.0110859362795907,0.021677632771228
"6","AT1G01100",1854.74186231319,0.580683783150812,0.244410824052941,2.37585133719377,0.0175085152816471,0.0326586317749326
"7","AT1G01110",25.3059895442215,1.35315534955282,0.320729434889224,4.21899333941764,2.45395521762401e-05,8.5249583435856e-05
"8","AT1G01120",648.18499596684,1.44768081988115,0.530444074804606,2.72918652247065,0.00634907811898294,0.0131868693541898
"9","AT1G01140",2144.70845885723,-0.820343767035041,0.315239175887019,-2.60229003811712,0.00926034990529494,0.0184653490504242
"10","AT1G01170",188.377244482817,1.25459635015012,0.33077435334245,3.79290696957767,0.000148893949161647,0.00044248170773939
"11","AT1G01190",13.9333836456236,1.29728224683171,0.413159850883229,3.1399039477298,0.00169003237050067,0.00400378015210714
"12","AT1G01200",10.5868995715442,1.91822323891942,0.508981095844281,3.7687514420109,0.000164066161414039,0.000483847942943252
"13","AT1G01225",28.506105953529,1.05119508344705,0.306184928341071,3.43320322506562,0.000596494818031028,0.00156913057388377
"14","AT1G01250",34.6374981570969,2.72021038331909,0.664881030220114,4.0912738665721,4.2901014254172e-05,0.000141894927422016
"15","AT1G01300",436.483086268905,1.21668362273485,0.256392500286877,4.74539474194253,2.08100106349197e-06,8.81652519068042e-06
"16","AT1G01340",950.011018823237,-4.1122164361745,0.337294463368096,-12.191769752493,3.43871452868861e-34,2.1208295936321e-32
"17","AT1G01350",311.36881218975,-0.445379494671936,0.109679160250015,-4.06074858393053,4.89156245139442e-05,0.000159938256689638
"18","AT1G01380",5.08741814637833,1.17664210326154,0.440891346610734,2.66878021604813,0.00761272470954079,0.0155315949457625
"19","AT1G01390",40.4555455145064,1.31461350570164,0.374461995098961,3.51067270619606,0.000446974353311175,0.00120784012165015
"20","AT1G01430",699.341327794432,1.0019763190402,0.182154090825148,5.50070720070739,3.7827093169392e-08,2.1621935031248e-07
"21","AT1G01440",458.94686153773,-0.552810322079723,0.113767891670987,-4.85910667729023,1.17916589057432e-06,5.2344505198922e-06
"22","AT1G01453",9.65603600140403,-3.96060821846079,0.873486157812866,-4.53425412988549,5.78073956124957e-06,2.27611451465653e-05
"23","AT1G01480",122.995188812568,-5.00570128073299,0.466465935092976,-10.7311186179871,7.27105984943525e-27,3.10260069311755e-25
"24","AT1G01510",409.635043469109,0.42976728113703,0.0860102886370509,4.99669618538982,5.83208404741826e-07,2.71884028278753e-06
"25","AT1G01520",77.8717438610711,-2.06327122922013,0.734442398996645,-2.8093029923638,0.00496488956045551,0.0105742830665612
"26","AT1G01540",824.841768861738,0.846345989754154,0.189214690009144,4.47294018087736,7.71513655976748e-06,2.95789442404598e-05
"27","AT1G01550",2905.48379524088,-0.518439446416315,0.11642543529453,-4.45297408684608,8.46889787353378e-06,3.21607784373003e-05
"28","AT1G01560",621.408375624966,-4.00325736456553,0.26042289095579,-15.3721408662387,2.51712238411914e-53,4.29627912042908e-51
"29","AT1G01610",438.083036345526,0.997285955576469,0.273703004093093,3.64367924598032,0.000268768326290522,0.000760146564966566
"30","AT1G01620",3467.6736255364,1.84252520174749,0.545395606359328,3.37832791511995,0.00072928060677911,0.00188090668853959
"31","AT1G01640",25.7168961741522,-0.914584569177369,0.328931327459455,-2.7804726787238,0.00542798269404201,0.0114509267948086
"32","AT1G01650",855.225426140829,-0.920989055077124,0.196484146576445,-4.68734537174886,2.76771671610242e-06,1.15067195345814e-05
"33","AT1G04027",4.20912761643863,-1.80288014264578,0.728378890862269,-2.47519548584323,0.0133163265731031,0.0255511005217067
"34","AT1G01660",23.7126425760299,-2.04686097505637,0.484364562566751,-4.2258685569597,2.38020905317154e-05,8.287071937497e-05
"35","AT1G01670",36.3093983786093,-0.897284636580767,0.251642858964419,-3.5657067332383,0.000362876979493287,0.00100010330886008
"36","AT1G01680",600.299133479065,-5.58096706964564,0.396754588131806,-14.066547020728,6.09747224148476e-45,6.95617325456018e-43
"37","AT1G01720",783.981218412955,-2.72670692678943,0.290897531135749,-9.37342753011197,7.02145425989483e-21,1.84705352323016e-19
"38","AT1G01730",559.316581578923,-1.30687137772655,0.152178433930698,-8.58775677979247,8.86837573461074e-18,1.76869471852046e-16
"39","AT1G01760",29.0479670341316,0.589381696682197,0.267974029322375,2.19939856922913,0.0278495942903541,0.0492405337737907
"40","AT1G01790",1579.44044283546,1.1488227407268,0.181235931133136,6.33882439063851,2.31524944190364e-10,1.8930527005028e-09
