"","genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","AT1G64820",1.35522749839724,2.73716505896528,1.2281764751328,2.22864149768813,0.0258377676338349,0.0499731851161477
"2","AT5G13780",527.766612046257,0.252258753145202,0.113189969843662,2.2286316843588,0.0258384211027701,0.0499731851161477
"3","AT1G58150",9.27002798398487,-1.05001538296016,0.471121629895878,-2.22875647461191,0.0258301123928481,0.0499658891729936
"4","AT5G59160",941.413920503784,0.25020283159294,0.112247877745844,2.22902059813959,0.0258125342981638,0.0499362710155661
"5","AT1G73680",393.290710865988,0.455848302915397,0.204478326910256,2.22932332146607,0.0257924000123503,0.0499053644248916
"6","AT5G57490",533.960329370455,-0.24201994848784,0.108563453713866,-2.22929485207534,0.0257942929475608,0.0499053644248916
"7","AT2G26260",142.435300229508,-0.40980058579999,0.183800142226546,-2.22959885033649,0.0257740862519987,0.0498750303975122
"8","AT2G44530",667.82680297982,0.272977098917098,0.122430101743582,2.22965671864605,0.025770241309979,0.0498719709933697
"9","AT1G72440",255.207546080488,-0.757766828642827,0.339837723474799,-2.22979020955871,0.0257613736700047,0.0498591899996955
"10","AT3G03780",2216.4006279236,-1.32168693426473,0.592650851044621,-2.23012745520418,0.0257389826037303,0.0498202308916242
"11","AT1G55380",8.42506592000704,-1.05227180008653,0.47179473672172,-2.23035934524889,0.0257235962782639,0.0497948244651912
"12","AT1G53690",4.20122031390993,-1.21899602910987,0.54652063934539,-2.23046659421674,0.0257164828053782,0.0497872033660439
"13","AT2G37560",19.7342551237907,-1.12662191322818,0.505104635982878,-2.23047232784924,0.0257161025602218,0.0497872033660439
"14","AT5G37050",1.31664365502982,2.73277372882889,1.22521030610516,2.23045277632063,0.0257173992056931,0.0497872033660439
"15","AT5G37530",38.0551922481609,-0.548612127014491,0.245894045864667,-2.23109154630133,0.0256750656132237,0.0497183562230753
"16","AT3G02760",495.110599052743,-0.336390807981901,0.150760584139374,-2.23129148710989,0.0256618272062057,0.0496970893648795
"17","AT4G03437",1.15929907449083,2.72510667713726,1.2212203173585,2.23146195522825,0.0256505448974005,0.0496796073100787
"18","AT3G43210",101.802646721508,0.461875475989559,0.206975868485601,2.23154264006237,0.0256452063263443,0.0496736349391576
"19","AT3G48670",238.682139764223,-0.377084036044623,0.168975249495767,-2.23159330830916,0.0256418543160478,0.0496715097369168
"20","AT3G48000",4300.21286617769,0.366184002608798,0.164067393535425,2.23191211073718,0.0256207723043857,0.0496350358889555
"21","AT4G36195",1022.25267739137,0.359049268736358,0.160868687468204,2.23194006482662,0.0256189244501036,0.0496350358889555
"22","AT1G06440",19.7193199769708,-0.777549161833072,0.348327585515843,-2.23223538463538,0.0255994099121674,0.0496046954465924
"23","AT1G60620",99.3634420417798,0.385629313483914,0.172756174389423,2.23221725560232,0.0256006074961328,0.0496046954465924
