"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"AT5G62960",38.5960706667568,-1.13530404173163,0.314714411477414,-3.60741040234538,0.000309268281389299,0.000999834307414861,NA,"836416"
"AT1G66250",108.284295331629,0.620855982463492,0.172070587477284,3.60814704921872,0.000308391691575636,0.000997211924599434,NA,"842942"
"AT1G74630",8.56985080181357,-1.85584531897573,0.514351001251676,-3.60813007938065,0.000308411859017474,0.000997211924599434,NA,"843802"
"AT2G00340",11.6303482423227,2.2338807372859,0.619063670895876,3.60848300798066,0.000307992682672544,0.000996148995242032,NA,NA
"AT1G13740",64.2873176260766,-1.24385304876847,0.344688485433564,-3.60862953458948,0.000307818808516271,0.000995732824200431,"AFP2","837934"
"AT4G32205",8.7962336185706,2.01552114546716,0.558479127565951,3.60894623627477,0.000307443311978629,0.000994664226696611,NA,NA
"AT5G18960",300.131555780724,-0.351446599597522,0.0973621065754526,-3.60968565655635,0.000306568289237648,0.000991978972329047,"FRS12","832014"
"AT4G14070",1276.06863697097,-0.595467365814974,0.164949398975476,-3.61000021529939,0.000306196750992815,0.000990922319321394,"AAE15","827043"
"AT1G02350",23.5714728643387,-1.68749918246526,0.46738430540437,-3.61051743276931,0.000305586760667794,0.00098909355726577,NA,"839490"
"AT2G40550",91.5996546407378,-0.881996867391791,0.244270771132759,-3.61073436376239,0.000305331257818855,0.000988411796986269,"ETG1","818650"
"AT3G08065",23.8417274593752,-1.20223418381478,0.332936517761853,-3.61100125602543,0.000305017184688012,0.00098754020598063,NA,NA
"AT5G08330",1054.86406446586,-0.930839636080263,0.257768594644579,-3.61114447383995,0.000304848773764093,0.000987140031934325,"AtTCP21","830730"
"AT4G14160",1307.26703163815,0.301776379869227,0.0835543767944932,3.61173634998754,0.000304153705139885,0.000985034103282348,"AtSEC23F","827055"
"AT4G33960",65.8996635660842,-1.20197164487636,0.332752545829366,-3.61220871167345,0.000303600053194189,0.000983385615617526,NA,"829542"
