,...1,rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrez,symbol,diffexpressed
1,3096,AT2G38290,874.68571767498,1.73654797967043,0.187588352345972,9.25722710367263,2.09810028658983e-20,2.7397185070117e-19,818409,AMT2,H_UP
2,4456,AT3G28100,347.567243762358,1.50799964611677,0.255042627907553,5.91273568065408,3.36471895776615e-09,1.53524013920113e-08,822434,UMAMIT45,H_UP
3,4564,AT3G45870,9.408628725604,2.1632244953159,0.63475265501265,3.4079802238445,0.00065445637640375,0.00144300065216677,823730,UMAMIT3,H_UP
4,4803,AT3G53210,46.1343739038724,1.22237622582699,0.321761580980411,3.79901236842013,0.00014527384324337,0.00035412609193408,824487,UMAMIT6,H_UP
5,5216,AT4G01430,66.2856468050979,2.33130177321902,0.523339537304772,4.45466395530779,8.40246977066371e-06,2.44612140317102e-05,826685,UMAMIT29,H_UP
6,5575,AT4G15540,786.459388194333,1.12754349319569,0.221884365890786,5.08167165662623,3.74127704847125e-07,1.33058753795243e-06,827227,UMAMIT38,H_UP
7,6914,AT5G13550,680.11213313151,1.06678063680894,0.16286337194343,6.55015688352246,5.74766698648159e-11,3.17490862701111e-10,831199,SULTR4;1,H_UP
8,7099,AT5G19080,231.109951802179,1.570453745885,0.260046297413847,6.03913134508403,1.54946083956129e-09,7.32312225588838e-09,832027,AtVBP1,H_UP
9,7476,AT5G40210,12.8659969118433,1.30430903020223,0.444406083892384,2.93494863701749,0.00333602904330605,0.00650348529159195,834019,UMAMIT42,H_UP
10,7477,AT5G40230,64.2529618776223,4.34679743561948,0.349761254390579,12.4278986910466,1.84418463131477e-35,6.25008357588199e-34,834021,UMAMIT37,H_UP
11,7478,AT5G40240,853.986835113167,2.56879522895313,0.314767407192126,8.16093143781308,3.32450849022877e-16,3.03756107553917e-15,834022,UMAMIT40,H_UP
